Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
sɥe,f,f,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('ɥ', {'f': 0.4522765874862671, 'm': 0.5477234721183777}), ('e', {'f': 0.6343789100646973, 'm': 0.3656211197376251})]",test,1
kul,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('u', {'f': 0.012442702427506447, 'm': 0.9875572919845581}), ('l', {'f': 0.14340455830097198, 'm': 0.8565953969955444})]",test,1
sap,m,f,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('a', {'f': 0.1397763192653656, 'm': 0.8602237105369568}), ('p', {'f': 0.2846003472805023, 'm': 0.7153996229171753})]",test,1
gaʒ,m,m,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('a', {'f': 0.16905225813388824, 'm': 0.830947756767273}), ('ʒ', {'f': 0.00039801839739084244, 'm': 0.9996020197868347})]",test,1
vɔl,m,m,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('ɔ', {'f': 0.08000633120536804, 'm': 0.9199936389923096}), ('l', {'f': 0.43206554651260376, 'm': 0.5679344534873962})]",test,1
aʁʃ,f,f,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('ʁ', {'f': 0.004097327124327421, 'm': 0.9959027171134949}), ('ʃ', {'f': 0.5591676831245422, 'm': 0.4408322870731354})]",test,1
fij,f,f,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('i', {'f': 0.4483582675457001, 'm': 0.5516417026519775}), ('j', {'f': 0.9603561162948608, 'm': 0.039643850177526474})]",test,1
ʁɔɲ,m,f,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('ɔ', {'f': 0.6302455067634583, 'm': 0.36975446343421936}), ('ɲ', {'f': 0.31971222162246704, 'm': 0.6802878379821777})]",test,1
buf,m,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('u', {'f': 0.0335770919919014, 'm': 0.9664229154586792}), ('f', {'f': 0.007401647046208382, 'm': 0.992598295211792})]",test,1
sol,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('o', {'f': 0.004249976947903633, 'm': 0.9957499504089355}), ('l', {'f': 0.16779808700084686, 'm': 0.8322019577026367})]",test,1
bɛl,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ɛ', {'f': 0.0032760873436927795, 'm': 0.9967239499092102}), ('l', {'f': 0.4424724578857422, 'm': 0.5575275421142578})]",test,1
pl3,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('l', {'f': 0.33536896109580994, 'm': 0.6646310687065125}), ('3', {'f': 0.0015746528515592217, 'm': 0.9984253644943237})]",test,1
pɔt,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('ɔ', {'f': 0.13007093966007233, 'm': 0.8699290752410889}), ('t', {'f': 0.06804672628641129, 'm': 0.9319532513618469})]",test,1
dam,m,f,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('a', {'f': 0.4524879455566406, 'm': 0.5475121140480042}), ('m', {'f': 0.14271271228790283, 'm': 0.8572872281074524})]",test,1
ʁɛv,f,m,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('ɛ', {'f': 0.3164183497428894, 'm': 0.6835816502571106}), ('v', {'f': 0.8848171234130859, 'm': 0.11518283188343048})]",test,1
mɔʁ,m,m,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('ɔ', {'f': 0.5339993834495544, 'm': 0.46600058674812317}), ('ʁ', {'f': 0.04762189835309982, 'm': 0.9523780941963196})]",test,1
pys,m,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('y', {'f': 0.1817009449005127, 'm': 0.8182990550994873}), ('s', {'f': 0.0009848506888374686, 'm': 0.9990150928497314})]",test,1
lɛʁ,m,m,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('ɛ', {'f': 0.003452745731920004, 'm': 0.996547281742096}), ('ʁ', {'f': 0.4043827950954437, 'm': 0.5956171751022339})]",test,1
buz,m,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('u', {'f': 0.0335770919919014, 'm': 0.9664229154586792}), ('z', {'f': 0.2464418113231659, 'm': 0.7535581588745117})]",test,1
pje,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('j', {'f': 0.48945099115371704, 'm': 0.5105490684509277}), ('e', {'f': 0.03466321527957916, 'm': 0.965336799621582})]",test,1
mɛʁ,m,f,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('ɛ', {'f': 0.023972926661372185, 'm': 0.9760270714759827}), ('ʁ', {'f': 0.1582423597574234, 'm': 0.841757595539093})]",test,1
gly,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('l', {'f': 0.13470162451267242, 'm': 0.8652984499931335}), ('y', {'f': 0.019722415134310722, 'm': 0.9802775979042053})]",test,1
baʁ,m,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('a', {'f': 0.1816672831773758, 'm': 0.8183327317237854}), ('ʁ', {'f': 0.0016432538395747542, 'm': 0.9983567595481873})]",test,1
liz,f,f,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('i', {'f': 0.6160001158714294, 'm': 0.38399988412857056}), ('z', {'f': 0.9517608880996704, 'm': 0.048239171504974365})]",test,1
avi,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('v', {'f': 0.8551838397979736, 'm': 0.1448161005973816}), ('i', {'f': 0.32323157787323, 'm': 0.67676842212677})]",test,1
pʁi,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('ʁ', {'f': 0.04561316967010498, 'm': 0.954386830329895}), ('i', {'f': 0.3134765326976776, 'm': 0.6865234971046448})]",test,1
kav,f,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('a', {'f': 0.3512507975101471, 'm': 0.6487491726875305}), ('v', {'f': 0.7363854646682739, 'm': 0.2636145353317261})]",test,1
mwa,m,m,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('w', {'f': 0.6261423230171204, 'm': 0.37385767698287964}), ('a', {'f': 0.10099244862794876, 'm': 0.8990075588226318})]",test,1
kon,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('o', {'f': 0.026707615703344345, 'm': 0.9732924103736877}), ('n', {'f': 0.10547884553670883, 'm': 0.8945211172103882})]",test,1
vis,f,m,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('i', {'f': 0.540739119052887, 'm': 0.4592609107494354}), ('s', {'f': 0.8238880634307861, 'm': 0.17611193656921387})]",test,1
t2g,f,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('2', {'f': 0.004212802741676569, 'm': 0.9957872033119202}), ('g', {'f': 0.8634030222892761, 'm': 0.13659700751304626})]",test,1
2gl,m,m,"[('2', {'f': 0.0030955192632973194, 'm': 0.9969044327735901}), ('g', {'f': 0.5951746106147766, 'm': 0.4048252999782562}), ('l', {'f': 0.06048840656876564, 'm': 0.9395115971565247})]",test,1
ʁut,m,f,"[('ʁ', {'f': 0.08725543320178986, 'm': 0.9127445220947266}), ('u', {'f': 0.08176690340042114, 'm': 0.9182331562042236}), ('t', {'f': 0.41889727115631104, 'm': 0.5811027884483337})]",test,1
g3ʃ,f,m,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('3', {'f': 0.0005427865544334054, 'm': 0.9994571805000305}), ('ʃ', {'f': 0.8870025873184204, 'm': 0.11299736052751541})]",test,1
blo,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('l', {'f': 0.13337215781211853, 'm': 0.8666279315948486}), ('o', {'f': 0.009028710424900055, 'm': 0.9909713268280029})]",test,1
1bʁ,f,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('b', {'f': 0.697504997253418, 'm': 0.30249500274658203}), ('ʁ', {'f': 0.8921017050743103, 'm': 0.1078983023762703})]",test,1
kaʒ,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('a', {'f': 0.3512507975101471, 'm': 0.6487491726875305}), ('ʒ', {'f': 0.0011022534454241395, 'm': 0.9988976716995239})]",test,1
paʁ,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('a', {'f': 0.5444997549057007, 'm': 0.45550018548965454}), ('ʁ', {'f': 0.017986515536904335, 'm': 0.9820135235786438})]",test,1
dœj,m,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('œ', {'f': 0.03677835315465927, 'm': 0.9632216691970825}), ('j', {'f': 0.009221849031746387, 'm': 0.9907782077789307})]",test,1
gut,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('u', {'f': 0.002956963609904051, 'm': 0.9970430731773376}), ('t', {'f': 0.40249985456466675, 'm': 0.5975001454353333})]",test,1
nɛm,m,m,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('ɛ', {'f': 0.010862641036510468, 'm': 0.9891373515129089}), ('m', {'f': 0.02272632159292698, 'm': 0.9772736430168152})]",test,1
kɔk,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('ɔ', {'f': 0.009540276601910591, 'm': 0.9904597997665405}), ('k', {'f': 0.29357895255088806, 'm': 0.7064211368560791})]",test,1
sal,m,f,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('a', {'f': 0.1397763192653656, 'm': 0.8602237105369568}), ('l', {'f': 0.1487540304660797, 'm': 0.8512459397315979})]",test,1
bɔl,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ɔ', {'f': 0.015807677060365677, 'm': 0.9841923713684082}), ('l', {'f': 0.14120058715343475, 'm': 0.858799397945404})]",test,1
jɔd,m,m,"[('j', {'f': 0.9567712545394897, 'm': 0.043228719383478165}), ('ɔ', {'f': 0.009648598730564117, 'm': 0.9903513789176941}), ('d', {'f': 0.4827318787574768, 'm': 0.5172681212425232})]",test,1
tiʁ,f,m,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('i', {'f': 0.32792356610298157, 'm': 0.672076404094696}), ('ʁ', {'f': 0.6200326085090637, 'm': 0.3799673616886139})]",test,1
bis,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('i', {'f': 0.13833115994930267, 'm': 0.8616688251495361}), ('s', {'f': 0.03167495131492615, 'm': 0.9683250784873962})]",test,1
bɔb,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ɔ', {'f': 0.015807677060365677, 'm': 0.9841923713684082}), ('b', {'f': 0.018491290509700775, 'm': 0.9815086722373962})]",test,1
kle,f,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('l', {'f': 0.057079896330833435, 'm': 0.9429201483726501}), ('e', {'f': 0.6105383038520813, 'm': 0.3894616961479187})]",test,1
gʁi,f,m,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('ʁ', {'f': 0.023735735565423965, 'm': 0.976264238357544}), ('i', {'f': 0.7988436222076416, 'm': 0.2011563777923584})]",test,1
maʁ,m,f,"[('m', {'f': 0.08804391324520111, 'm': 0.9119560718536377}), ('a', {'f': 0.04876738041639328, 'm': 0.9512325525283813}), ('ʁ', {'f': 0.013796240091323853, 'm': 0.9862037897109985})]",test,1
3fo,m,f,"[('3', {'f': 0.004788101650774479, 'm': 0.9952118396759033}), ('f', {'f': 0.5486034154891968, 'm': 0.451396644115448}), ('o', {'f': 0.004791502375155687, 'm': 0.9952084422111511})]",test,1
nɛʁ,m,m,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('ɛ', {'f': 0.010862641036510468, 'm': 0.9891373515129089}), ('ʁ', {'f': 0.03999011591076851, 'm': 0.9600099325180054})]",test,1
pas,m,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('a', {'f': 0.5444997549057007, 'm': 0.45550018548965454}), ('s', {'f': 0.06533385068178177, 'm': 0.9346661567687988})]",test,1
dyn,f,f,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('y', {'f': 0.054445501416921616, 'm': 0.9455545544624329}), ('n', {'f': 0.5658966898918152, 'm': 0.4341033101081848})]",test,1
gaʃ,m,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('a', {'f': 0.16905225813388824, 'm': 0.830947756767273}), ('ʃ', {'f': 0.14848266541957855, 'm': 0.8515173196792603})]",test,1
bʁy,m,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('ʁ', {'f': 0.02462712675333023, 'm': 0.9753729104995728}), ('y', {'f': 0.10471606999635696, 'm': 0.8952839374542236})]",test,1
t3t,f,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('3', {'f': 0.06705917418003082, 'm': 0.9329407811164856}), ('t', {'f': 0.6332298517227173, 'm': 0.3667701482772827})]",test,1
kol,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('o', {'f': 0.026707615703344345, 'm': 0.9732924103736877}), ('l', {'f': 0.2097567468881607, 'm': 0.7902432680130005})]",test,1
bik,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('i', {'f': 0.13833115994930267, 'm': 0.8616688251495361}), ('k', {'f': 0.2575872540473938, 'm': 0.7424127459526062})]",test,1
ʒad,f,m,"[('ʒ', {'f': 0.07741256058216095, 'm': 0.9225874543190002}), ('a', {'f': 0.0830969288945198, 'm': 0.9169030785560608}), ('d', {'f': 0.9622254371643066, 'm': 0.03777454048395157})]",test,1
n2s,m,m,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('2', {'f': 0.00474234763532877, 'm': 0.9952576756477356}), ('s', {'f': 0.10610268265008926, 'm': 0.8938973546028137})]",test,1
aga,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('g', {'f': 0.5613442063331604, 'm': 0.4386557638645172}), ('a', {'f': 0.1750497817993164, 'm': 0.8249502182006836})]",test,1
byl,m,m,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('y', {'f': 0.037198301404714584, 'm': 0.9628016948699951}), ('l', {'f': 0.2943527400493622, 'm': 0.7056472897529602})]",test,1
poz,f,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('o', {'f': 0.07680972665548325, 'm': 0.9231902360916138}), ('z', {'f': 0.9923608899116516, 'm': 0.007639136631041765})]",test,1
gøz,f,f,"[('g', {'f': 0.5567188858985901, 'm': 0.4432811439037323}), ('ø', {'f': 0.00036310357972979546, 'm': 0.9996368885040283}), ('z', {'f': 0.9999648332595825, 'm': 3.5181255952920765e-05})]",test,1
sit,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('i', {'f': 0.9695093631744385, 'm': 0.03049069084227085}), ('t', {'f': 0.11962900310754776, 'm': 0.8803709745407104})]",test,1
aʁɛ,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('ʁ', {'f': 0.004097327124327421, 'm': 0.9959027171134949}), ('ɛ', {'f': 0.42544594407081604, 'm': 0.5745540857315063})]",test,1
lɔʃ,f,f,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('ɔ', {'f': 0.03718656674027443, 'm': 0.9628133773803711}), ('ʃ', {'f': 0.5914828181266785, 'm': 0.4085172116756439})]",test,1
an2,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('n', {'f': 0.7958509922027588, 'm': 0.20414899289608002}), ('2', {'f': 0.0021310404408723116, 'm': 0.9978688955307007})]",test,1
kɔl,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('ɔ', {'f': 0.009540276601910591, 'm': 0.9904597997665405}), ('l', {'f': 0.1947886198759079, 'm': 0.8052114248275757})]",test,1
afʁ,m,f,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('f', {'f': 0.24640877544879913, 'm': 0.7535911798477173}), ('ʁ', {'f': 0.051116012036800385, 'm': 0.9488840103149414})]",test,1
1s1,m,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('s', {'f': 0.9998468160629272, 'm': 0.00015317514771595597}), ('1', {'f': 0.0009380423580296338, 'm': 0.9990620017051697})]",test,1
ʃlø,m,m,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('l', {'f': 0.04092461243271828, 'm': 0.9590753316879272}), ('ø', {'f': 0.00017608575581107289, 'm': 0.9998239874839783})]",test,1
2gʁ,m,m,"[('2', {'f': 0.0030955192632973194, 'm': 0.9969044327735901}), ('g', {'f': 0.5951746106147766, 'm': 0.4048252999782562}), ('ʁ', {'f': 0.27880576252937317, 'm': 0.7211942076683044})]",test,1
lɔʒ,m,f,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('ɔ', {'f': 0.03718656674027443, 'm': 0.9628133773803711}), ('ʒ', {'f': 0.050481077283620834, 'm': 0.9495189785957336})]",test,1
sɛl,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('ɛ', {'f': 0.08021983504295349, 'm': 0.9197801947593689}), ('l', {'f': 0.1479315161705017, 'm': 0.8520684838294983})]",test,1
wat,f,m,"[('w', {'f': 0.5005144476890564, 'm': 0.4994855523109436}), ('a', {'f': 0.023341599851846695, 'm': 0.9766584038734436}), ('t', {'f': 0.6580764055252075, 'm': 0.3419235646724701})]",test,1
sul,m,f,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('u', {'f': 0.11181867867708206, 'm': 0.8881813287734985}), ('l', {'f': 0.11977889388799667, 'm': 0.8802210688591003})]",test,1
b2d,f,f,"[('b', {'f': 0.1510113924741745, 'm': 0.8489886522293091}), ('2', {'f': 0.0008730090339668095, 'm': 0.9991269707679749}), ('d', {'f': 0.8890902996063232, 'm': 0.11090970784425735})]",test,1
vɔg,m,f,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('ɔ', {'f': 0.08000633120536804, 'm': 0.9199936389923096}), ('g', {'f': 0.47701966762542725, 'm': 0.5229803323745728})]",test,1
val,m,m,"[('v', {'f': 0.9859427809715271, 'm': 0.01405720878392458}), ('a', {'f': 0.7711808681488037, 'm': 0.2288191318511963}), ('l', {'f': 0.3191888630390167, 'm': 0.6808111667633057})]",test,1
ʃit,f,m,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('i', {'f': 0.21279053390026093, 'm': 0.7872094511985779}), ('t', {'f': 0.7656716108322144, 'm': 0.23432834446430206})]",test,1
tʁi,f,m,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('ʁ', {'f': 0.07763179391622543, 'm': 0.9223682284355164}), ('i', {'f': 0.9761248230934143, 'm': 0.023875169456005096})]",test,1
pli,f,f,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('l', {'f': 0.33536896109580994, 'm': 0.6646310687065125}), ('i', {'f': 0.6222885847091675, 'm': 0.3777114450931549})]",test,1
aso,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('s', {'f': 0.7248662710189819, 'm': 0.2751336693763733}), ('o', {'f': 0.006078948266804218, 'm': 0.9939210414886475})]",test,1
fj2,m,m,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('j', {'f': 0.32393065094947815, 'm': 0.6760693788528442}), ('2', {'f': 0.006013685837388039, 'm': 0.9939862489700317})]",test,1
aɛd,f,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('ɛ', {'f': 0.11645588278770447, 'm': 0.8835440874099731}), ('d', {'f': 0.9118665456771851, 'm': 0.08813337981700897})]",test,1
piʁ,m,m,"[('p', {'f': 0.5793262124061584, 'm': 0.42067378759384155}), ('i', {'f': 0.5771956443786621, 'm': 0.4228043854236603}), ('ʁ', {'f': 0.01811642199754715, 'm': 0.9818835258483887})]",test,1
zɛl,m,m,"[('z', {'f': 0.9863396883010864, 'm': 0.013660304248332977}), ('ɛ', {'f': 0.11218222975730896, 'm': 0.8878177404403687}), ('l', {'f': 0.24277885258197784, 'm': 0.7572211623191833})]",test,1
apa,m,m,"[('a', {'f': 0.4590891897678375, 'm': 0.5409107804298401}), ('p', {'f': 0.4794589579105377, 'm': 0.5205410122871399}), ('a', {'f': 0.28488868474960327, 'm': 0.7151113748550415})]",test,1
1ʒø,m,m,"[('1', {'f': 0.00013523935922421515, 'm': 0.9998646974563599}), ('ʒ', {'f': 0.6768203973770142, 'm': 0.3231796324253082}), ('ø', {'f': 0.0036954013630747795, 'm': 0.9963046312332153})]",test,1
dyk,m,m,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('y', {'f': 0.054445501416921616, 'm': 0.9455545544624329}), ('k', {'f': 0.0446479395031929, 'm': 0.9553520083427429})]",test,1
kaʁ,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('a', {'f': 0.3512507975101471, 'm': 0.6487491726875305}), ('ʁ', {'f': 0.004737301729619503, 'm': 0.995262622833252})]",test,1
doz,f,f,"[('d', {'f': 0.589947521686554, 'm': 0.41005241870880127}), ('o', {'f': 0.12227636575698853, 'm': 0.8777235746383667}), ('z', {'f': 0.9586282968521118, 'm': 0.04137168452143669})]",test,1
lat,m,f,"[('l', {'f': 0.20968158543109894, 'm': 0.7903184294700623}), ('a', {'f': 0.3099530041217804, 'm': 0.6900469064712524}), ('t', {'f': 0.19497564435005188, 'm': 0.8050243258476257})]",test,1
fiʃ,f,f,"[('f', {'f': 0.03871070593595505, 'm': 0.9612892270088196}), ('i', {'f': 0.4483582675457001, 'm': 0.5516417026519775}), ('ʃ', {'f': 0.5604264736175537, 'm': 0.4395735561847687})]",test,1
ɛgʁ,m,m,"[('ɛ', {'f': 0.014626593329012394, 'm': 0.9853734374046326}), ('g', {'f': 0.1765858232975006, 'm': 0.8234142065048218}), ('ʁ', {'f': 0.011200875975191593, 'm': 0.9887991547584534})]",test,1
kiʁ,m,m,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('i', {'f': 0.015146192163228989, 'm': 0.9848538637161255}), ('ʁ', {'f': 0.02110152505338192, 'm': 0.9788984656333923})]",test,1
top,m,f,"[('t', {'f': 0.26077961921691895, 'm': 0.739220380783081}), ('o', {'f': 0.032884370535612106, 'm': 0.967115581035614}), ('p', {'f': 0.3189751207828522, 'm': 0.6810249090194702})]",test,1
ɛst,m,m,"[('ɛ', {'f': 0.014626593329012394, 'm': 0.9853734374046326}), ('s', {'f': 0.9676827788352966, 'm': 0.0323171503841877}), ('t', {'f': 0.01143729593604803, 'm': 0.9885627031326294})]",test,1
kot,m,f,"[('k', {'f': 0.363788902759552, 'm': 0.636211097240448}), ('o', {'f': 0.026707615703344345, 'm': 0.9732924103736877}), ('t', {'f': 0.2994939982891083, 'm': 0.7005059719085693})]",test,1
sɔk,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('ɔ', {'f': 0.05141578987240791, 'm': 0.9485841989517212}), ('k', {'f': 0.0396222248673439, 'm': 0.9603778123855591})]",test,1
nɛf,m,f,"[('n', {'f': 0.9224861264228821, 'm': 0.07751389592885971}), ('ɛ', {'f': 0.010862641036510468, 'm': 0.9891373515129089}), ('f', {'f': 0.15269654989242554, 'm': 0.8473035097122192})]",test,1
ʃos,m,f,"[('ʃ', {'f': 0.7218103408813477, 'm': 0.27818959951400757}), ('o', {'f': 0.0036439350806176662, 'm': 0.9963561296463013}), ('s', {'f': 0.02353277988731861, 'm': 0.9764671921730042})]",test,1
syk,m,m,"[('s', {'f': 0.11441703140735626, 'm': 0.8855829834938049}), ('y', {'f': 0.03641700744628906, 'm': 0.9635830521583557}), ('k', {'f': 0.09511880576610565, 'm': 0.9048811793327332})]",test,1
